workflow,category,dependency,version,count
action-version-check.yml,language,python,6,1
action-version-check.yml,language,python,3.11,1
action-version-check.yml,action,actions/checkout,any,1
action-version-check.yml,action,actions/setup-python,any,1
action-version-check.yml,action,actions/github-script,any,1
action-version-check.yml,tools,python,used,1
action-version-check.yml,tools,bash,used,1
actionlint-audit.yml,action,actions/checkout,any,1
actionlint-audit.yml,action,actions/checkout,any,1
actionlint-audit.yml,tools,curl,used,1
actionlint-audit.yml,tools,python,used,1
adaptive-agent-delegation.yml,language,python,6,1
adaptive-agent-delegation.yml,language,python,3.12,1
adaptive-agent-delegation.yml,action,actions/checkout,any,1
adaptive-agent-delegation.yml,action,actions/checkout,any,1
adaptive-agent-delegation.yml,action,actions/cache,any,1
adaptive-agent-delegation.yml,action,actions/checkout,any,1
adaptive-agent-delegation.yml,action,actions/setup-python,any,1
adaptive-agent-delegation.yml,action,actions/checkout,any,1
adaptive-agent-delegation.yml,tools,jq,used,1
adaptive-agent-delegation.yml,tools,python,used,1
admin-action-notifier.yml,action,./.github/workflows/admin-action-notifier.yml`,any,1
admin-action-notifier.yml,action,actions/github-script,any,1
admin-action-notifier.yml,action,actions/github-script,any,1
admin-action-notifier.yml,pip,— Python,any,1
admin-action-notifier.yml,tools,curl,used,1
admin-action-t03.yml,action,./.github/workflows/admin-action-notifier.yml,any,1
admin-action-t03.yml,tools,bash,used,1
admin_setup_verification.yml,language,python,6,1
admin_setup_verification.yml,language,python,3.12.13,1
admin_setup_verification.yml,action,actions/cache,any,1
admin_setup_verification.yml,action,actions/checkout,any,1
admin_setup_verification.yml,action,actions/cache,any,1
admin_setup_verification.yml,action,actions/setup-python,any,1
admin_setup_verification.yml,action,actions/cache,any,1
admin_setup_verification.yml,action,actions/github-script,any,1
admin_setup_verification.yml,pip,-e ".[dev]" -q 2>/dev/null || true,any,1
admin_setup_verification.yml,tools,curl,used,1
admin_setup_verification.yml,tools,python,used,1
agent-auth-delegation.yml,language,python,6,1
agent-auth-delegation.yml,language,python,6,1
agent-auth-delegation.yml,language,python,3.12.13,1
agent-auth-delegation.yml,language,python,3.12.13,1
agent-auth-delegation.yml,action,actions/checkout,any,1
agent-auth-delegation.yml,action,actions/setup-python,any,1
agent-auth-delegation.yml,action,actions/cache,any,1
agent-auth-delegation.yml,action,actions/checkout,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/cache,any,1
agent-auth-delegation.yml,action,actions/checkout,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
agent-auth-delegation.yml,action,actions/checkout,any,1
agent-auth-delegation.yml,action,actions/create-github-app-token,any,1
agent-auth-delegation.yml,action,actions/setup-python,any,1
agent-auth-delegation.yml,action,actions/checkout,any,1
agent-auth-delegation.yml,action,actions/github-script,any,1
