filename,size_bytes,size_human,type,category,created_at,checksum_status
44af2e3b0fa3a0b6239e48422972bf755f28fde0,10502,12K,text/x-script.python,emb,2026-07-11 07:09:42,verified
44af2e3b0fa3a0b6239e48422972bf755f28fde0.lock,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db.bd9b9518.incomplete,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db.lock,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
59d594003bf59880a884c574bf88ef7555bb0202,53,4.0K,application/json,emb,2026-07-11 07:09:42,verified
59d594003bf59880a884c574bf88ef7555bb0202.lock,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
72b987fd805cfa2b58c4c8c952b274a11bfd5a00,612,4.0K,application/json,emb,2026-07-11 07:09:42,verified
72b987fd805cfa2b58c4c8c952b274a11bfd5a00.lock,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
952a9b81c0bfd99800fabf352f69c7ccd46c5e43,349,4.0K,application/json,emb,2026-07-11 07:09:42,verified
952a9b81c0bfd99800fabf352f69c7ccd46c5e43.lock,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
CACHEDIR.TAG,191,4.0K,text/plain,emb,2026-07-11 07:09:42,verified
EXECUTIVE_BRIEF.txt,15493,16K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
INDEX.md,442,4.0K,text/plain,docs,2026-07-11 07:09:42,verified
JSONL_SCHEMAS.md,10252,12K,text/plain,schemas,2026-07-11 07:09:42,verified
MIGRATION_CHECKLIST_AND_INDEX_ANALYSIS.md,16172,16K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
MIGRATION_SUMMARY.md,3561,4.0K,text/plain,artifacts,2026-07-11 07:09:42,verified
PHASE_12_WAVE_2_D1_2_COMPLETION_SUMMARY.md,18157,20K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
PHASE_B_LANE_6_FINAL_DELIVERABLE.md,14317,16K,text/plain,artifacts,2026-07-11 07:09:42,verified
RBAC_DEPLOYMENT_GUIDE.md,16603,20K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
RBAC_VALIDATION_REPORT.md,17956,20K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
README.md,16110,16K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
README.md,3752,4.0K,text/plain,docs,2026-07-11 07:09:42,verified
adapter_config.json,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
archive_plan_root.json,4851,8.0K,application/json,artifacts,2026-07-11 07:09:42,verified
bandit.txt,117487,116K,text/plain,security,2026-07-11 07:09:42,verified
checks.json,288,4.0K,application/json,notebook_checks,2026-07-11 07:09:42,verified
cli_entry_points.json,501,4.0K,application/json,metrics,2026-07-11 07:09:42,verified
cli_help.json,4303,8.0K,application/json,metrics,2026-07-11 07:09:42,verified
coverage.xml,765055,748K,text/xml,coverage,2026-07-11 07:09:42,verified
docstring_coverage.json,112926,112K,application/json,metrics,2026-07-11 07:09:42,verified
fd1b291129c607e5d49799f87cb219b27f98acdf,116,4.0K,application/json,emb,2026-07-11 07:09:42,verified
fd1b291129c607e5d49799f87cb219b27f98acdf.lock,0,0,inode/x-empty,emb,2026-07-11 07:09:42,verified
hw.txt,78,4.0K,application/json,env,2026-07-11 07:09:42,verified
import_graph.json,144321,144K,application/json,metrics,2026-07-11 07:09:42,verified
index.html,127650,128K,text/html,coverage,2026-07-11 07:09:42,verified
index.html,1892,4.0K,text/html,docs,2026-07-11 07:09:42,verified
knowledge.release.manifest.json,478,4.0K,application/json,artifacts,2026-07-11 07:09:42,verified
loc_by_dir.csv,1017,4.0K,text/csv,metrics,2026-07-11 07:09:42,verified
main,40,4.0K,text/plain,emb,2026-07-11 07:09:42,verified
metrics.json,1079,4.0K,application/json,metrics,2026-07-11 07:09:42,verified
migration_verification.sql,7143,8.0K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
model.json,297,4.0K,application/json,models,2026-07-11 07:09:42,verified
model_regression_coverage.md,517,4.0K,text/plain,artifacts,2026-07-11 07:09:42,verified
model_regression_log.ndjson,0,0,inode/x-empty,artifacts,2026-07-11 07:09:42,verified
no-gh-actions-scan.txt,7947,8.0K,text/plain,guardrails,2026-07-11 07:09:42,verified
os.txt,255,4.0K,application/json,env,2026-07-11 07:09:42,verified
performance_validation.sql,9665,12K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
pip-freeze.txt,5288,8.0K,text/plain,env,2026-07-11 07:09:42,verified
policy.json,143,4.0K,application/json,rl,2026-07-11 07:09:42,verified
python.txt,18,4.0K,text/plain,env,2026-07-11 07:09:42,verified
repo_audit_scorecard.md,930,4.0K,text/plain,artifacts,2026-07-11 07:09:42,verified
safety.txt,201,4.0K,text/plain,security,2026-07-11 07:09:42,verified
sample.py,165,4.0K,text/x-script.python,20260710-082730-c82f1cc7,2026-07-11 07:09:42,verified
sample.py,165,4.0K,text/x-script.python,custom_snap,2026-07-11 07:09:42,verified
semantic_index.jsonl,1244062,1.2M,application/x-ndjson,artifacts,2026-07-11 07:09:42,verified
snapshot-meta.json,280,4.0K,application/json,custom_snap,2026-07-11 07:09:42,verified
snapshot-meta.json,291,4.0K,application/json,20260710-082730-c82f1cc7,2026-07-11 07:09:42,verified
snapshot-meta.json,312,4.0K,application/json,20260710-082727-6774fcb3,2026-07-11 07:09:42,verified
snapshot-meta.json,315,4.0K,application/json,20260710-082728-e5fc567c,2026-07-11 07:09:42,verified
stubs.json,48248,48K,application/json,metrics,2026-07-11 07:09:42,verified
summary.txt,42647,44K,text/plain,coverage,2026-07-11 07:09:42,verified
test.py,19,4.0K,text/plain,20260710-082728-e5fc567c,2026-07-11 07:09:42,verified
training_py01_removal.md,278,4.0K,text/plain,diffs,2026-07-11 07:09:42,verified
v0.0_to_v1.0_init.sql,16385,20K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
v1.0_rollback.sql,2703,4.0K,text/plain,rbac_deployment,2026-07-11 07:09:42,verified
vocab.json,93,4.0K,application/json,models,2026-07-11 07:09:42,verified
测试.py,6,4.0K,text/plain,20260710-082727-6774fcb3,2026-07-11 07:09:42,verified
