"dir","files","loc"
".","52","18496"
".codex","171","157252"
".github","15","822"
"_codex","4","514"
"agents","8","403"
"analysis","8","1171"
"archive","5","248"
"artifacts","33","160826"
"codex_addons","2","791"
"codex_digest","12","483"
"codex_ml","5","172"
"codex_utils","5","483"
"conf","3","46"
"configs","37","789"
"copilot","6","146"
"data","4","18"
"db","1","26"
"deploy","3","126"
"docs","119","7780"
"documentation","16","1004"
"examples","19","499"
"experiments","1","53"
"hydra","2","220"
"interfaces","2","11"
"LICENSES","3","1172"
"logs","1","53"
"mcp","2","24"
"monitoring","1","0"
"notebooks","2","214"
"nox_sessions","1","13"
"omegaconf","1","221"
"ops","1","8"
"patches","20","1275"
"reports","13","1106"
"requirements","1","11"
"schemas","2","108"
"scripts","53","8617"
"semgrep_rules","8","100"
"services","20","1560"
"src","223","34268"
"temp","43","990"
"tests","465","24559"
"tokenization","1","35"
"tools","129","22875"
"torch","1","157"
"training","8","2528"
"typer","1","7"
"yaml","1","133"
