NAME                                VERSION                                    TYPE
Simple Launcher                     1.1.0.14                                   binary        (+11 duplicates)
accelerate                          1.14.0                                     python
adduser                             3.152                                      deb
aiohappyeyeballs                    2.6.1                                      python
aiohappyeyeballs                    2.6.2                                      python
aiohttp                             3.13.5                                     python
aiohttp                             3.14.1                                     python
aiohttp-cors                        0.8.1                                      python
aiosignal                           1.4.0                                      python        (+1 duplicate)
annotated-doc                       0.0.4                                      python
annotated-types                     0.7.0                                      python
antlr4-python3-runtime              4.9.3                                      python
anyio                               4.14.0                                     python
appdirs                             1.4.4                                      python
apt                                 3.0.3                                      deb
attrs                               26.1.0                                     python        (+1 duplicate)
autocommand                         2.2.2                                      python
backports-tarfile                   1.2.0                                      python
base-files                          13.8+deb13u5                               deb
base-passwd                         3.6.7                                      deb
bash                                5.2.37-2+b9                                deb
bridge-copilot-extension            0.0.1                                      npm
bsdutils                            1:2.41-5                                   deb
ca-certificates                     20250419                                   deb
certifi                             2026.6.17                                  python
cffi                                2.0.0                                      python
charset-normalizer                  3.4.7                                      python
cli                                 UNKNOWN                                    binary
cli-32                              UNKNOWN                                    binary
cli-64                              UNKNOWN                                    binary
cli-arm64                           UNKNOWN                                    binary
click                               8.4.1                                      python
codex-cascade-system                1.0.0                                      npm
codex-ml                            0.9.0                                      python        (+1 duplicate)
colorama                            0.4.6                                      python        (+1 duplicate)
colorful                            0.5.8                                      python
commons-io                          2.14.0                                     java-archive
commons-lang3                       3.18.0                                     java-archive
copilot-bridge                      0.1.2                                      npm
copilot-ita-extension               0.1.0                                      npm
coreutils                           9.7-3                                      deb
cryptography                        49.0.0                                     python
cuda-bindings                       13.3.1                                     python
cuda-pathfinder                     1.5.5                                      python
cuda-toolkit                        13.0.2                                     python
dash                                0.5.12-12                                  deb
datasets                            5.0.0                                      python
debconf                             1.5.91                                     deb
debian-archive-keyring              2025.1                                     deb
debianutils                         5.23.2                                     deb
defusedxml                          0.7.1                                      python
deprecated                          1.3.1                                      python
deprecation                         2.1.0                                      python
diffutils                           1:3.10-4                                   deb
dill                                0.4.1                                      python
distlib                             0.4.3                                      python
distro                              1.9.0                                      python
dpkg                                1.22.22                                    deb
duckdb                              1.5.4                                      python
dynaconf                            3.2.13                                     python
error_prone_annotations             2.18.0                                     java-archive
evidently                           0.7.21                                     python
failureaccess                       1.0.1                                      java-archive
faker                               40.23.0                                    python
fastapi                             0.138.0                                    python
filelock                            3.29.4                                     python
findutils                           4.10.0-3                                   deb
frozenlist                          1.8.0                                      python        (+1 duplicate)
fsspec                              2026.4.0                                   python
fst                                 2.57                                       java-archive
gcc-14-base                         14.2.0-19                                  deb
git                                 1:2.47.3-0+deb13u1                         deb
git-man                             1:2.47.3-0+deb13u1                         deb
google-api-core                     2.31.0                                     python
google-auth                         2.55.0                                     python
googleapis-common-protos            1.75.0                                     python
