id,file_path,language,is_executable,execution_status,line_number
ex-0001,docs/SECURITY_ALERT_AUDIT_REPORT.md,text,False,skipped,24
ex-0002,docs/SECURITY_ALERT_AUDIT_REPORT.md,text,False,skipped,40
ex-0003,docs/SECURITY_ALERT_AUDIT_REPORT.md,python,True,failed,58
ex-0004,docs/SECURITY_ALERT_AUDIT_REPORT.md,python,True,failed,77
ex-0005,docs/SECURITY_ALERT_AUDIT_REPORT.md,python,True,failed,92
ex-0006,docs/SECURITY_ALERT_AUDIT_REPORT.md,bash,True,success,144
ex-0007,docs/SECURITY_ALERT_AUDIT_REPORT.md,bash,True,success,150
ex-0008,docs/SECURITY_ALERT_AUDIT_REPORT.md,bash,True,success,156
ex-0009,docs/SECURITY_ALERT_AUDIT_REPORT.md,bash,True,success,162
ex-0010,docs/SECURITY_ALERT_AUDIT_REPORT.md,bash,True,success,168
ex-0011,docs/DOCUMENTATION_UPDATE_MANIFEST.md,markdown,False,skipped,65
ex-0012,docs/DOCUMENTATION_UPDATE_MANIFEST.md,bash,True,success,81
ex-0013,docs/DOCUMENTATION_UPDATE_MANIFEST.md,bash,True,success,86
ex-0014,docs/DOCUMENTATION_UPDATE_MANIFEST.md,bash,True,success,100
ex-0015,docs/DOCUMENTATION_UPDATE_MANIFEST.md,bash,True,success,105
ex-0016,docs/quickstart_local_training.md,bash,True,success,11
ex-0017,docs/quickstart_local_training.md,bash,True,success,18
ex-0018,docs/quickstart_local_training.md,bash,True,success,23
ex-0019,docs/quickstart_local_training.md,bash,True,success,28
ex-0020,docs/quickstart_local_training.md,bash,False,skipped,38
ex-0021,docs/quickstart_local_training.md,bash,True,success,43
ex-0022,docs/ISSUE_REPORTING_GUIDE.md,markdown,False,skipped,46
ex-0023,docs/ISSUE_REPORTING_GUIDE.md,markdown,False,skipped,79
ex-0024,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,96
ex-0025,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,115
ex-0026,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,121
ex-0027,docs/ISSUE_REPORTING_GUIDE.md,markdown,False,skipped,180
ex-0028,docs/ISSUE_REPORTING_GUIDE.md,markdown,False,skipped,204
ex-0029,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,225
ex-0030,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,230
ex-0031,docs/ISSUE_REPORTING_GUIDE.md,python,True,failed,307
ex-0032,docs/ISSUE_REPORTING_GUIDE.md,python,True,failed,325
ex-0033,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,408
ex-0034,docs/ISSUE_REPORTING_GUIDE.md,text,False,skipped,413
ex-0035,docs/EXPANDED_CONTEXT_RAG.md,bash,True,success,21
ex-0036,docs/EXPANDED_CONTEXT_RAG.md,bash,True,success,27
ex-0037,docs/EXPANDED_CONTEXT_RAG.md,bash,True,success,37
ex-0038,docs/EXPANDED_CONTEXT_RAG.md,python,False,skipped,50
ex-0039,docs/EXPANDED_CONTEXT_RAG.md,python,False,skipped,78
ex-0040,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,96
ex-0041,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,111
ex-0042,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,131
ex-0043,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,150
ex-0044,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,178
ex-0045,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,199
ex-0046,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,212
ex-0047,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,228
ex-0048,docs/EXPANDED_CONTEXT_RAG.md,python,True,failed,260
ex-0049,docs/EXPANDED_CONTEXT_RAG.md,text,False,skipped,280
ex-0050,docs/EXPANDED_CONTEXT_RAG.md,bash,True,success,307
ex-0051,docs/PHYSICS_GAP_ANALYSIS.md,python,True,failed,166
ex-0052,docs/PHYSICS_GAP_ANALYSIS.md,python,True,success,179
ex-0053,docs/PHYSICS_GAP_ANALYSIS.md,python,True,failed,188
ex-0054,docs/PHYSICS_GAP_ANALYSIS.md,python,False,skipped,201
ex-0055,docs/PHASE4_COMPLETE.md,python,False,skipped,238
ex-0056,docs/QUICKSTART_BY_PROFILE.md,bash,True,success,7
ex-0057,docs/QUICKSTART_BY_PROFILE.md,bash,True,success,26
ex-0058,docs/QUICKSTART_BY_PROFILE.md,dockerfile,True,success,41
ex-0059,docs/QUICKSTART_BY_PROFILE.md,yaml,False,skipped,58
ex-0060,docs/QUICKSTART_BY_PROFILE.md,yaml,False,skipped,94
ex-0061,docs/QUICKSTART_BY_PROFILE.md,yaml,False,skipped,138
ex-0062,docs/QUICKSTART_BY_PROFILE.md,bash,True,success,174
ex-0063,docs/QUICKSTART_BY_PROFILE.md,text,False,skipped,221
ex-0064,docs/QUICKSTART_BY_PROFILE.md,bash,True,success,225
ex-0065,docs/QUICKSTART_BY_PROFILE.md,text,False,skipped,238
ex-0066,docs/QUICKSTART_BY_PROFILE.md,bash,True,success,278
ex-0067,docs/COGNITIVE_BRAIN_QUANTUM_INTEGRATION.md,mermaid,True,success,11
ex-0068,docs/COGNITIVE_BRAIN_QUANTUM_INTEGRATION.md,text,False,skipped,49
ex-0069,docs/COGNITIVE_BRAIN_QUANTUM_INTEGRATION.md,text,False,skipped,63
ex-0070,docs/COGNITIVE_BRAIN_QUANTUM_INTEGRATION.md,text,False,skipped,90
ex-0071,docs/COGNITIVE_BRAIN_QUANTUM_INTEGRATION.md,typescript,True,success,116
ex-0072,docs/COGNITIVE_BRAIN_QUANTUM_INTEGRATION.md,typescript,True,success,130
