Issue #,Issue URL,Failed Workflow Run,Self-Healing Analysis Run
2915,https://github.com/Aries-Serpent/_codex_/issues/2915,https://github.com/Aries-Serpent/_codex_/actions/runs/21145689720,https://github.com/Aries-Serpent/_codex_/actions/runs/21145825936
2914,https://github.com/Aries-Serpent/_codex_/issues/2914,https://github.com/Aries-Serpent/_codex_/actions/runs/21145669711,https://github.com/Aries-Serpent/_codex_/actions/runs/21145823013
2913,https://github.com/Aries-Serpent/_codex_/issues/2913,https://github.com/Aries-Serpent/_codex_/actions/runs/21145675824,https://github.com/Aries-Serpent/_codex_/actions/runs/21145819258
2912,https://github.com/Aries-Serpent/_codex_/issues/2912,https://github.com/Aries-Serpent/_codex_/actions/runs/21145662776,https://github.com/Aries-Serpent/_codex_/actions/runs/21145795277
2910,https://github.com/Aries-Serpent/_codex_/issues/2910,https://github.com/Aries-Serpent/_codex_/actions/runs/21145653936,https://github.com/Aries-Serpent/_codex_/actions/runs/21145794190
2909,https://github.com/Aries-Serpent/_codex_/issues/2909,https://github.com/Aries-Serpent/_codex_/actions/runs/21145645758,https://github.com/Aries-Serpent/_codex_/actions/runs/21145792912
2908,https://github.com/Aries-Serpent/_codex_/issues/2908,https://github.com/Aries-Serpent/_codex_/actions/runs/21145615595,https://github.com/Aries-Serpent/_codex_/actions/runs/21145647254
2907,https://github.com/Aries-Serpent/_codex_/issues/2907,https://github.com/Aries-Serpent/_codex_/actions/runs/21145583258,https://github.com/Aries-Serpent/_codex_/actions/runs/21145618722
2906,https://github.com/Aries-Serpent/_codex_/issues/2906,https://github.com/Aries-Serpent/_codex_/actions/runs/21145592938,https://github.com/Aries-Serpent/_codex_/actions/runs/21145617654
2905,https://github.com/Aries-Serpent/_codex_/issues/2905,https://github.com/Aries-Serpent/_codex_/actions/runs/21145572518,https://github.com/Aries-Serpent/_codex_/actions/runs/21145604149
